code,name,c_name
600007,中国国贸,外资背景
600114,东睦股份,外资背景
600132,重庆啤酒,外资背景
600182,S佳通,外资背景
600595,中孚实业,外资背景
600641,万业企业,外资背景
600779,水井坊,外资背景
600801,华新水泥,外资背景
600819,耀皮玻璃,外资背景
000001,平安银行,外资背景
000005,世纪星源,外资背景
000541,佛山照明,外资背景
000608,阳光股份,外资背景
000659,*ST中富,外资背景
000869,张 裕Ａ,外资背景
000895,双汇发展,外资背景
000932,*ST华菱,外资背景
000935,四川双马,外资背景
002032,苏 泊 尔,外资背景
002047,宝鹰股份,外资背景
600023,浙能电力,核电核能
600089,特变电工,核电核能
600202,哈空调,核电核能
600226,瀚叶股份,核电核能
600269,赣粤高速,核电核能
600292,远达环保,核电核能
600307,酒钢宏兴,核电核能
600328,兰太实业,核电核能
600416,湘电股份,核电核能
600483,福能股份,核电核能
600516,方大炭素,核电核能
600550,保变电气,核电核能
600558,大西洋,核电核能
600622,光大嘉宝,核电核能
600642,申能股份,核电核能
600848,上海临港,核电核能
600875,东方电气,核电核能
600973,宝胜股份,核电核能
601106,*ST一重,核电核能
601179,中国西电,核电核能
601369,陕鼓动力,核电核能
601611,中国核建,核电核能
601727,上海电气,核电核能
601877,正泰电器,核电核能
601985,中国核电,核电核能
601991,大唐发电,核电核能
603100,川仪股份,核电核能
603169,兰石重装,核电核能
603308,应流股份,核电核能
603699,纽威股份,核电核能
000777,中核科技,核电核能
000825,太钢不锈,核电核能
000881,中广核技,核电核能
000883,湖北能源,核电核能
000899,赣能股份,核电核能
000922,*ST佳电,核电核能
000967,盈峰环境,核电核能
000969,安泰科技,核电核能
000993,闽东电力,核电核能
002011,盾安环境,核电核能
002058,威 尔 泰,核电核能
002130,沃尔核材,核电核能
002149,西部材料,核电核能
002167,东方锆业,核电核能
002212,南洋股份,核电核能
002227,奥 特 迅,核电核能
002248,*ST东数,核电核能
002255,海陆重工,核电核能
002266,浙富控股,核电核能
002276,万马股份,核电核能
002318,久立特材,核电核能
002364,中恒电气,核电核能
002366,台海核电,核电核能
002438,江苏神通,核电核能
002478,常宝股份,核电核能
002534,杭锅股份,核电核能
002564,天沃科技,核电核能
002665,首航节能,核电核能
300004,南风股份,核电核能
300084,海默科技,核电核能
300092,科新机电,核电核能
300153,科泰电源,核电核能
300185,通裕重工,核电核能
300411,金盾股份,核电核能
300489,中飞股份,核电核能
600209,罗顿发展,三沙概念
600515,海航基础,三沙概念
600759,洲际油气,三沙概念
600896,览海投资,三沙概念
601118,海南橡胶,三沙概念
000099,中信海直,三沙概念
000505,珠江控股,三沙概念
000566,海南海药,三沙概念
000567,海德股份,三沙概念
000613,*ST东海A,三沙概念
000691,亚太实业,三沙概念
000735,罗 牛 山,三沙概念
000886,海南高速,三沙概念
002320,海峡股份,三沙概念
002596,海南瑞泽,三沙概念
600071,凤凰光学,食品安全
600271,航天信息,食品安全
600288,大恒科技,食品安全
600602,云赛智联,食品安全
601933,永辉超市,食品安全
000061,农 产 品,食品安全
000530,大冷股份,食品安全
000701,厦门信达,食品安全
000997,新 大 陆,食品安全
002030,达安基因,食品安全
002161,远 望 谷,食品安全
002299,圣农发展,食品安全
002477,雏鹰农牧,食品安全
002512,达华智能,食品安全
002637,赞宇科技,食品安全
300012,华测检测,食品安全
300020,银江股份,食品安全
300165,天瑞仪器,食品安全
300203,聚光科技,食品安全
300260,新莱应材,食品安全
300271,华宇软件,食品安全
300306,远方信息,食品安全
600067,冠城大通,锂电池
600071,凤凰光学,锂电池
600076,康欣新材,锂电池
600096,云天化,锂电池
600110,诺德股份,锂电池
