code,name,c_name
600051,宁波联合,综合行业
600209,罗顿发展,综合行业
600212,江泉实业,综合行业
600256,广汇能源,综合行业
600576,祥源文化,综合行业
600603,广汇物流,综合行业
600614,鹏起科技,综合行业
600620,天宸股份,综合行业
600622,光大嘉宝,综合行业
600624,复旦复华,综合行业
600647,同达创业,综合行业
600656,退市博元,综合行业
600687,刚泰控股,综合行业
600701,工大高新,综合行业
600730,中国高科,综合行业
600770,综艺股份,综合行业
600777,新潮能源,综合行业
600800,天津磁卡,综合行业
600805,悦达投资,综合行业
600811,东方集团,综合行业
600832,东方明珠,综合行业
600846,同济科技,综合行业
600892,大晟文化,综合行业
000008,神州高铁,综合行业
000301,东方市场,综合行业
000576,广东甘化,综合行业
000632,三木集团,综合行业
000633,合金投资,综合行业
000652,泰达股份,综合行业
000701,厦门信达,综合行业
000839,中信国安,综合行业
000881,中广核技,综合行业
000909,数源科技,综合行业
600003,ST东北高,公路桥梁
600012,皖通高速,公路桥梁
600020,中原高速,公路桥梁
600033,福建高速,公路桥梁
600035,楚天高速,公路桥梁
600106,重庆路桥,公路桥梁
600269,赣粤高速,公路桥梁
600350,山东高速,公路桥梁
600368,五洲交通,公路桥梁
600377,宁沪高速,公路桥梁
600548,深高速,公路桥梁
601107,四川成渝,公路桥梁
601188,龙江交通,公路桥梁
601518,吉林高速,公路桥梁
000429,粤高速Ａ,公路桥梁
000548,湖南投资,公路桥梁
000828,东莞控股,公路桥梁
000886,海南高速,公路桥梁
000900,现代投资,公路桥梁
000916,华北高速,公路桥梁
600061,国投资本,化纤行业
600063,皖维高新,化纤行业
600527,江南高纤,化纤行业
600810,神马股份,化纤行业
600889,南京化纤,化纤行业
601113,华鼎股份,化纤行业
601233,桐昆股份,化纤行业
000420,吉林化纤,化纤行业
000584,哈工智能,化纤行业
000615,京汉股份,化纤行业
000677,恒天海龙,化纤行业
000687,华讯方舟,化纤行业
000703,恒逸石化,化纤行业
000782,美达股份,化纤行业
000936,华西股份,化纤行业
000949,新乡化纤,化纤行业
000976,华铁股份,化纤行业
002015,霞客环保,化纤行业
002064,华峰氨纶,化纤行业
002080,中材科技,化纤行业
002172,澳洋科技,化纤行业
002206,海 利 得,化纤行业
002254,泰和新材,化纤行业
002427,尤夫股份,化纤行业
002493,荣盛石化,化纤行业
300180,华峰超纤,化纤行业
600031,三一重工,机械行业
600114,东睦股份,机械行业
600149,*ST坊展,机械行业
600169,太原重工,机械行业
600218,全柴动力,机械行业
600243,青海华鼎,机械行业
600262,北方股份,机械行业
600320,振华重工,机械行业
600346,恒力股份,机械行业
600388,龙净环保,机械行业
600421,仰帆控股,机械行业
600435,北方导航,机械行业
600475,华光股份,机械行业
600499,科达洁能,机械行业
600520,文一科技,机械行业
600526,菲达环保,机械行业
600579,天华院,机械行业
600582,天地科技,机械行业
600592,龙溪股份,机械行业
600619,海立股份,机械行业
600710,ST常林,机械行业
600761,安徽合力,机械行业
600765,中航重机,机械行业
600806,*ST昆机,机械行业
600815,*ST厦工,机械行业
600841,上柴股份,机械行业
600855,航天长峰,机械行业
600860,*ST京城,机械行业
600984,建设机械,机械行业
601002,晋亿实业,机械行业
601038,一拖股份,机械行业
601100,恒立液压,机械行业
601106,*ST一重,机械行业
601177,杭齿前进,机械行业
601218,吉鑫科技,机械行业
601226,华电重工,机械行业
601268,*ST二重,机械行业
601369,陕鼓动力,机械行业
601608,中信重工,机械行业
601717,郑煤机,机械行业
601798,蓝科高新,机械行业
603011,合锻智能,机械行业
603012,创力集团,机械行业
603088,宁波精达,机械行业
603169,兰石重装,机械行业
603308,应流股份,机械行业
603315,福鞍股份,机械行业
603318,派思股份,机械行业
603338,浙江鼎力,机械行业
603355,莱克电气,机械行业
603698,航天工程,机械行业
603699,纽威股份,机械行业
603789,星光农机,机械行业
000039,中集集团,机械行业
000157,中联重科,机械行业
000404,华意压缩,机械行业
000410,*ST沈机,机械行业
000425,徐工机械,机械行业
000519,中兵红箭,机械行业
000528,柳 工,机械行业
000530,大冷股份,机械行业
000551,创元科技,机械行业
000570,苏常柴Ａ,机械行业
000595,*ST宝实,机械行业
000617,中油资本,机械行业
000678,襄阳轴承,机械行业
000680,山推股份,机械行业
000777,中核科技,机械行业
000811,冰轮环境,机械行业
000816,智慧农业,机械行业
000821,京山轻机,机械行业
000837,秦川机床,机械行业
000852,石化机械,机械行业
000856,冀东装备,机械行业
000880,潍柴重机,机械行业
000903,云内动力,机械行业
000923,河北宣工,机械行业
000925,众合科技,机械行业
002006,精功科技,机械行业
002009,天奇股份,机械行业
002011,盾安环境,机械行业
002026,山东威达,机械行业
002046,轴研科技,机械行业
002050,三花智控,机械行业
002097,山河智能,机械行业
002101,广东鸿图,机械行业
002122,天马股份,机械行业
002131,利欧股份,机械行业
002147,新光圆成,机械行业
002150,通润装备,机械行业
002158,汉钟精机,机械行业
002204,大连重工,机械行业
002209,达 意 隆,机械行业
002248,*ST东数,机械行业
002255,海陆重工,机械行业
002270,华明装备,机械行业
002272,川润股份,机械行业
002278,神开股份,机械行业
002282,博深工具,机械行业
002328,新朋股份,机械行业
002337,赛象科技,机械行业
002342,巨力索具,机械行业
002347,泰尔股份,机械行业
002353,杰瑞股份,机械行业
002366,台海核电,机械行业
002413,雷科防务,机械行业
002418,康盛股份,机械行业
002430,杭氧股份,机械行业
002435,长江润发,机械行业
002438,江苏神通,机械行业
002444,巨星科技,机械行业
002445,中南文化,机械行业
