code,name,c_name
600099,林海股份,其他交运设备
600679,上海凤凰,其他交运设备
600877,*ST嘉陵,其他交运设备
603129,春风动力,其他交运设备
603766,隆鑫通用,其他交运设备
603776,永安行,其他交运设备
603787,新日股份,其他交运设备
000017,深中华A,其他交运设备
000913,钱江摩托,其他交运设备
002105,信隆健康,其他交运设备
600100,同方股份,计算机设备
600601,方正科技,计算机设备
600764,中电广通,计算机设备
600800,天津磁卡,计算机设备
600855,航天长峰,计算机设备
603019,中科曙光,计算机设备
603106,恒银金融,计算机设备
603496,恒为科技,计算机设备
603660,苏州科达,计算机设备
000021,深科技,计算机设备
000066,中国长城,计算机设备
000748,长城信息,计算机设备
000938,紫光股份,计算机设备
000977,浪潮信息,计算机设备
000997,新 大 陆,计算机设备
002152,广电运通,计算机设备
002177,御银股份,计算机设备
002197,证通电子,计算机设备
002268,卫 士 通,计算机设备
002296,辉煌科技,计算机设备
002308,威创股份,计算机设备
002312,*ST三泰,计算机设备
002376,新北洋,计算机设备
002383,合众思壮,计算机设备
002512,达华智能,计算机设备
002528,英飞拓,计算机设备
002577,雷柏科技,计算机设备
002835,同为股份,计算机设备
002912,中新赛克,计算机设备
300042,朗科科技,计算机设备
300045,华力创通,计算机设备
300065,海兰信,计算机设备
300130,新国都,计算机设备
300155,安居宝,计算机设备
300177,中海达,计算机设备
300202,聚龙股份,计算机设备
300270,中威电子,计算机设备
300302,同有科技,计算机设备
300333,兆日科技,计算机设备
300367,东方网力,计算机设备
300368,汇金股份,计算机设备
300386,飞天诚信,计算机设备
300449,汉邦高科,计算机设备
300455,康拓红外,计算机设备
300462,华铭智能,计算机设备
300479,神思电子,计算机设备
300546,雄帝科技,计算机设备
300627,华测导航,计算机设备
600189,吉林森工,林业
600265,ST景谷,林业
000592,平潭发展,林业
000699,S*ST佳纸,林业
002679,福建金森,林业
600125,铁龙物流,铁路运输
601006,大秦铁路,铁路运输
601333,广深铁路,铁路运输
000594,国恒退,铁路运输
600111,北方稀土,有色金属
600114,东睦股份,有色金属
600139,西部资源,有色金属
600146,商赢环球,有色金属
600206,有研新材,有色金属
600219,南山铝业,有色金属
600255,梦舟股份,有色金属
600259,广晟有色,有色金属
600311,荣华实业,有色金属
600330,天通股份,有色金属
600331,宏达股份,有色金属
600338,西藏珠峰,有色金属
600362,江西铜业,有色金属
600366,宁波韵升,有色金属
600385,山东金泰,有色金属
600390,五矿资本,有色金属
600392,盛和资源,有色金属
600432,*ST吉恩,有色金属
600456,宝钛股份,有色金属
600459,贵研铂业,有色金属
600478,科力远,有色金属
600489,中金黄金,有色金属
600490,鹏欣资源,有色金属
600497,驰宏锌锗,有色金属
600516,方大炭素,有色金属
600531,豫光金铅,有色金属
600547,山东黄金,有色金属
600549,厦门钨业,有色金属
600576,祥源文化,有色金属
600595,中孚实业,有色金属
600614,鹏起科技,有色金属
600615,丰华股份,有色金属
600673,东阳光科,有色金属
600687,刚泰控股,有色金属
600711,盛屯矿业,有色金属
600714,金瑞矿业,有色金属
600766,园城黄金,有色金属
600768,宁波富邦,有色金属
600888,新疆众和,有色金属
600961,株冶集团,有色金属
600980,北矿科技,有色金属
600988,赤峰黄金,有色金属
601020,华钰矿业,有色金属
601069,西部黄金,有色金属
601137,博威合金,有色金属
601168,西部矿业,有色金属
601212,白银有色,有色金属
601388,怡球资源,有色金属
601600,中国铝业,有色金属
601677,明泰铝业,有色金属
601899,紫金矿业,有色金属
601958,金钼股份,有色金属
603260,合盛硅业,有色金属
603399,新华龙,有色金属
603527,众源新材,有色金属
603612,索通发展,有色金属
603663,三祥新材,有色金属
603688,石英股份,有色金属
603799,华友钴业,有色金属
603826,坤彩科技,有色金属
603978,深圳新星,有色金属
603993,洛阳钼业,有色金属
000007,全新好,有色金属
000008,神州高铁,有色金属
000060,中金岭南,有色金属
000426,兴业矿业,有色金属
000506,中润资源,有色金属
000511,*ST烯碳,有色金属
000519,中兵红箭,有色金属
000602,金马集团,有色金属
000603,盛达矿业,有色金属
000612,焦作万方,有色金属
000620,新华联,有色金属
000630,铜陵有色,有色金属
000633,合金投资,有色金属
000657,中钨高新,有色金属
000688,建新矿业,有色金属
000693,*ST华泽,有色金属
000697,炼石有色,有色金属
000751,锌业股份,有色金属
000758,中色股份,有色金属
000795,英洛华,有色金属
000807,云铝股份,有色金属
000813,德展健康,有色金属
000831,五矿稀土,有色金属
000878,云南铜业,有色金属
000908,景峰医药,有色金属
000928,中钢国际,有色金属
000933,神火股份,有色金属
000960,锡业股份,有色金属
000962,东方钽业,有色金属
000969,安泰科技,有色金属
000970,中科三环,有色金属
000975,银泰资源,有色金属
002056,横店东磁,有色金属
002057,中钢天源,有色金属
002070,*ST众和,有色金属
002075,沙钢股份,有色金属
002114,罗平锌电,有色金属
002130,沃尔核材,有色金属
002149,西部材料,有色金属
002155,湖南黄金,有色金属
002160,常铝股份,有色金属
002167,东方锆业,有色金属
002171,楚江新材,有色金属
002182,云海金属,有色金属
002203,海亮股份,有色金属
002237,恒邦股份,有色金属
002295,精艺股份,有色金属
002297,博云新材,有色金属
002340,格林美,有色金属
002378,章源钨业,有色金属
002379,宏创控股,有色金属
002428,云南锗业,有色金属
002460,赣锋锂业,有色金属
002466,天齐锂业,有色金属
002501,利源精制,有色金属
002540,亚太科技,有色金属
002578,闽发铝业,有色金属
002600,江粉磁材,有色金属
002716,金贵银业,有色金属
002806,华锋股份,有色金属
002824,和胜股份,有色金属
002842,翔鹭钨业,有色金属
300127,银河磁体,有色金属
300224,正海磁材,有色金属
300337,银邦股份,有色金属
300395,菲利华,有色金属
300428,四通新材,有色金属
300489,中飞股份,有色金属
300618,寒锐钴业,有色金属
300666,江丰电子,有色金属
300697,电工合金,有色金属
300706,阿石创,有色金属
300731,科创新源,有色金属
600085,同仁堂,中药
600129,太极集团,中药
600211,西藏药业,中药
600222,太龙药业,中药
600252,中恒集团,中药
600285,羚锐制药,中药
600329,中新药业,中药
600332,白云山,中药
600351,亚宝药业,中药
600422,昆药集团,中药
600436,片仔癀,中药
600479,千金药业,中药
600518,康美药业,中药
600535,天士力,中药
600538,国发股份,中药
600557,康缘药业,中药
600572,康恩贝,中药
600594,益佰制药,中药
600613,神奇制药,中药
600671,天目药业,中药
600750,江中药业,中药
600771,广誉远,中药
600781,辅仁药业,中药
600976,健民集团,中药
600993,马应龙,中药
603139,康惠制药,中药
603567,珍宝岛,中药
603858,步长制药,中药
603896,寿仙谷,中药
603963,大理药业,中药
603998,方盛制药,中药
000423,东阿阿胶,中药
000538,云南白药,中药
000590,启迪古汉,中药
000623,吉林敖东,中药
000650,仁和药业,中药
000766,通化金马,中药
000790,泰合健康,中药
000919,金陵药业,中药
000989,九 芝 堂,中药
000999,华润三九,中药
002107,沃华医药,中药
002118,紫鑫药业,中药
002166,莱茵生物,中药
002198,嘉应制药,中药
002275,桂林三金,中药
002287,奇正藏药,中药
002317,众生药业,中药
002349,精华制药,中药
002390,信邦制药,中药
002412,汉森制药,中药
002424,贵州百灵,中药
002433,太安堂,中药
002566,益盛药业,中药
002603,以岭药业,中药
002644,佛慈制药,中药
002737,葵花药业,中药
002750,龙津药业,中药
002817,黄山胶囊,中药
002826,易明医药,中药
002864,盘龙药业,中药
002873,新天药业,中药
002907,华森制药,中药
300026,红日药业,中药
300039,上海凯宝,中药
300049,福瑞股份,中药
300108,吉药控股,中药
300147,香雪制药,中药
300158,振东制药,中药
300181,佐力药业,中药
300519,新光药业,中药
300534,陇神戎发,中药
600209,罗顿发展,装修装饰
601886,江河集团,装修装饰
603030,全筑股份,装修装饰
603081,大丰实业,装修装饰
603466,风语筑,装修装饰
603828,柯利达,装修装饰
000018,神州长城,装修装饰
002047,宝鹰股份,装修装饰
002081,金 螳 螂,装修装饰
002325,洪涛股份,装修装饰
002375,亚厦股份,装修装饰
002482,广田集团,装修装饰
002504,*ST弘高,装修装饰
002620,瑞和股份,装修装饰
002713,东易日盛,装修装饰
002781,奇信股份,装修装饰
002789,建艺集团,装修装饰
002811,亚泰国际,装修装饰
002822,中装建设,装修装饰
002830,名雕股份,装修装饰
002856,美芝股份,装修装饰
300506,名家汇,装修装饰
300592,华凯创意,装修装饰
300621,维业股份,装修装饰
600183,生益科技,元件
600237,铜峰电子,元件
600563,法拉电子,元件
603186,华正新材,元件
603228,景旺电子,元件
603328,依顿电子,元件
603386,广东骏亚,元件
603678,火炬电子,元件
603738,泰晶科技,元件
603920,世运电路,元件
603936,博敏电子,元件
603989,艾华集团,元件
000532,华金资本,元件
000636,风华高科,元件
000701,厦门信达,元件
000733,振华科技,元件
000823,超声电子,元件
002134,*ST普林,元件
002138,顺络电子,元件
002199,东晶电子,元件
002222,福晶科技,元件
002288,超华科技,元件
002389,南洋科技,元件
002436,兴森科技,元件
002463,沪电股份,元件
002484,江海股份,元件
002579,中京电子,元件
002618,丹邦科技,元件
002636,金安国纪,元件
002815,崇达技术,元件
002866,传艺科技,元件
002913,奥士康,元件
002916,深南电路,元件
